aflrun_seed_10/default/pacfix.log:[valuation] [dry-run] [val default/memory/neg/id:000001] [file /home/yuntong/vulnfix/data/libtiff/cve_2016_5321/aflrun_seed_10/default/queue/id:000000,time:0,execs:0,orig:exploit] [time 147]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001043] [file memory/input/pos_001043_src:000996,time:3822023,execs:627864,op:run-havoc,rep:2] [time 3822023]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001044] [file memory/input/pos_001044_src:000996,time:3823345,execs:628094,op:run-havoc,rep:2] [time 3823345]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001045] [file memory/input/pos_001045_src:000996,time:3824403,execs:628229,op:run-havoc,rep:2] [time 3824406]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001046] [file memory/input/pos_001046_src:000996,time:3826815,execs:628262,op:run-havoc,rep:2] [time 3826821]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001047] [file memory/input/pos_001047_src:000924,time:3831471,execs:629594,op:run-havoc,rep:2] [time 3831471]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001048] [file memory/input/pos_001048_src:000848,time:3838513,execs:631035,op:run-havoc,rep:4] [time 3838514]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001049] [file memory/input/pos_001049_src:000848,time:3838771,execs:631090,op:run-havoc,rep:2] [time 3838771]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001050] [file memory/input/pos_001050_src:000848,time:3839765,execs:631173,op:run-havoc,rep:4] [time 3839765]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001051] [file memory/input/pos_001051_src:000848,time:3840656,execs:631342,op:run-havoc,rep:2] [time 3840656]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001052] [file memory/input/pos_001052_src:000848,time:3841803,execs:631470,op:run-havoc,rep:8] [time 3841803]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001053] [file memory/input/pos_001053_src:000926,time:3845468,execs:632461,op:run-havoc,rep:2] [time 3845468]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001054] [file memory/input/pos_001054_src:000926,time:3845779,execs:632497,op:run-havoc,rep:4] [time 3845779]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001055] [file memory/input/pos_001055_src:000926,time:3847062,execs:632779,op:run-havoc,rep:2] [time 3847062]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001056] [file memory/input/pos_001056_src:000926,time:3847381,execs:632825,op:run-havoc,rep:2] [time 3847381]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001057] [file memory/input/pos_001057_src:000926,time:3848498,execs:632942,op:run-havoc,rep:4] [time 3848500]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001058] [file memory/input/pos_001058_src:000926+000444,time:3851171,execs:633666,op:run-splice,rep:8] [time 3851171]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001059] [file memory/input/pos_001059_src:000926+000184,time:3851396,execs:633745,op:run-splice,rep:2] [time 3851396]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001060] [file memory/input/pos_001060_src:001231,time:3853776,execs:633954,op:run-havoc,rep:2] [time 3853776]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001061] [file memory/input/pos_001061_src:001231,time:3854924,execs:634052,op:run-havoc,rep:2] [time 3854924]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001062] [file memory/input/pos_001062_src:001231+000469,time:3859810,execs:634492,op:run-splice,rep:2] [time 3859810]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001063] [file memory/input/pos_001063_src:000982,time:3860186,execs:634633,op:run-havoc,rep:4] [time 3860186]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001064] [file memory/input/pos_001064_src:000982,time:3861149,execs:634817,op:run-havoc,rep:4] [time 3861149]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001065] [file memory/input/pos_001065_src:001250,time:3864593,execs:635856,op:run-havoc,rep:2] [time 3864593]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/neg/id:000001] [file memory/input/neg_000001_src:001250,time:3864660,execs:635861,op:run-havoc,rep:2] [time 3864660]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001066] [file memory/input/pos_001066_src:001250,time:3866789,execs:636097,op:run-havoc,rep:2] [time 3866789]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001067] [file memory/input/pos_001067_src:001250+001112,time:3867889,execs:636429,op:run-splice,rep:2] [time 3867889]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001068] [file memory/input/pos_001068_src:000999,time:3878680,execs:638415,op:run-havoc,rep:2] [time 3878680]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001069] [file memory/input/pos_001069_src:000999,time:3879213,execs:638431,op:run-havoc,rep:8] [time 3879213]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001070] [file memory/input/pos_001070_src:000999,time:3879335,execs:638441,op:run-havoc,rep:4] [time 3879335]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001071] [file memory/input/pos_001071_src:000999,time:3879809,execs:638535,op:run-havoc,rep:4] [time 3879809]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001072] [file memory/input/pos_001072_src:000999,time:3880001,execs:638560,op:run-havoc,rep:2] [time 3880001]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001073] [file memory/input/pos_001073_src:000999,time:3880721,execs:638616,op:run-havoc,rep:4] [time 3880721]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001074] [file memory/input/pos_001074_src:000999,time:3880761,execs:638617,op:run-havoc,rep:2] [time 3880762]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001075] [file memory/input/pos_001075_src:000999+001158,time:3882042,execs:638970,op:run-splice,rep:2] [time 3882042]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001076] [file memory/input/pos_001076_src:000999+001158,time:3882087,execs:638974,op:run-splice,rep:2] [time 3882087]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001077] [file memory/input/pos_001077_src:001083+000622,time:3886889,execs:640009,op:run-splice,rep:2] [time 3886889]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001078] [file memory/input/pos_001078_src:001083+000622,time:3887149,execs:640010,op:run-splice,rep:2] [time 3887149]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001079] [file memory/input/pos_001079_src:001227,time:3894247,execs:641844,op:run-havoc,rep:4] [time 3894248]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001080] [file memory/input/pos_001080_src:001239,time:3901787,execs:643106,op:run-havoc,rep:4] [time 3901787]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001081] [file memory/input/pos_001081_src:001239+001009,time:3902711,execs:643273,op:run-splice,rep:2] [time 3902711]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001082] [file memory/input/pos_001082_src:001202,time:3922877,execs:645805,op:run-havoc,rep:2] [time 3922877]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001083] [file memory/input/pos_001083_src:001202,time:3923417,execs:645844,op:run-havoc,rep:4] [time 3923417]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001084] [file memory/input/pos_001084_src:001202,time:3924764,execs:645949,op:run-havoc,rep:8] [time 3924764]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001085] [file memory/input/pos_001085_src:001202,time:3925244,execs:646024,op:run-havoc,rep:4] [time 3925244]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001086] [file memory/input/pos_001086_src:001202,time:3926859,execs:646174,op:run-havoc,rep:4] [time 3926859]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001087] [file memory/input/pos_001087_src:001202,time:3927088,execs:646198,op:run-havoc,rep:2] [time 3927088]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001088] [file memory/input/pos_001088_src:001202,time:3927169,execs:646204,op:run-havoc,rep:4] [time 3927169]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001089] [file memory/input/pos_001089_src:001202,time:3927266,execs:646214,op:run-havoc,rep:4] [time 3927266]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001090] [file memory/input/pos_001090_src:001202,time:3927471,execs:646234,op:run-havoc,rep:2] [time 3927471]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001091] [file memory/input/pos_001091_src:001202,time:3927798,execs:646259,op:run-havoc,rep:2] [time 3927798]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001092] [file memory/input/pos_001092_src:001202,time:3928497,execs:646347,op:run-havoc,rep:2] [time 3928497]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001093] [file memory/input/pos_001093_src:001202+000777,time:3930384,execs:646989,op:run-splice,rep:2] [time 3930395]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001094] [file memory/input/pos_001094_src:001229,time:3934073,execs:647813,op:run-havoc,rep:4] [time 3934073]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001095] [file memory/input/pos_001095_src:001229,time:3934995,execs:647905,op:run-havoc,rep:4] [time 3934995]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001096] [file memory/input/pos_001096_src:001229,time:3935321,execs:647958,op:run-havoc,rep:2] [time 3935321]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001097] [file memory/input/pos_001097_src:001229,time:3936141,execs:648021,op:run-havoc,rep:2] [time 3936141]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001098] [file memory/input/pos_001098_src:000993,time:3944527,execs:649818,op:run-havoc,rep:2] [time 3944527]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001099] [file memory/input/pos_001099_src:000993,time:3944657,execs:649843,op:run-havoc,rep:8] [time 3944657]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001100] [file memory/input/pos_001100_src:000993,time:3945353,execs:649926,op:run-havoc,rep:2] [time 3945358]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001101] [file memory/input/pos_001101_src:000896,time:3955139,execs:651753,op:run-havoc,rep:2] [time 3955139]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001102] [file memory/input/pos_001102_src:000896,time:3955611,execs:651839,op:run-havoc,rep:2] [time 3955611]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001103] [file memory/input/pos_001103_src:000896,time:3956591,execs:651958,op:run-havoc,rep:4] [time 3956591]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001104] [file memory/input/pos_001104_src:001087,time:3964649,execs:653347,op:run-havoc,rep:2] [time 3964649]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001105] [file memory/input/pos_001105_src:001087+000611,time:3966878,execs:653902,op:run-splice,rep:2] [time 3966879]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001106] [file memory/input/pos_001106_src:001087+000611,time:3966974,execs:653903,op:run-splice,rep:2] [time 3966975]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001107] [file memory/input/pos_001107_src:001252,time:3967982,execs:654072,op:run-havoc,rep:4] [time 3967982]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001108] [file memory/input/pos_001108_src:001252+000717,time:3970237,execs:654249,op:run-splice,rep:2] [time 3970237]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001109] [file memory/input/pos_001109_src:001258,time:3972606,execs:654383,op:run-havoc,rep:2] [time 3972606]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001110] [file memory/input/pos_001110_src:001258,time:3973038,execs:654430,op:run-havoc,rep:4] [time 3973038]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001111] [file memory/input/pos_001111_src:001258,time:3974131,execs:654538,op:run-havoc,rep:2] [time 3974131]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001112] [file memory/input/pos_001112_src:001261,time:3977940,execs:655361,op:run-havoc,rep:2] [time 3977940]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001113] [file memory/input/pos_001113_src:001261,time:3978062,execs:655372,op:run-havoc,rep:2] [time 3978062]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001114] [file memory/input/pos_001114_src:001268,time:3982473,execs:656418,op:run-havoc,rep:2] [time 3982473]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001115] [file memory/input/pos_001115_src:001268,time:3982679,execs:656469,op:run-havoc,rep:2] [time 3982679]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001116] [file memory/input/pos_001116_src:001268,time:3982962,execs:656543,op:run-havoc,rep:4] [time 3982962]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001117] [file memory/input/pos_001117_src:001268+000672,time:3984221,execs:656795,op:run-splice,rep:2] [time 3984221]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001118] [file memory/input/pos_001118_src:001268+000672,time:3984474,execs:656808,op:run-splice,rep:2] [time 3984474]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001119] [file memory/input/pos_001119_src:001269,time:3987857,execs:657574,op:run-havoc,rep:4] [time 3987857]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001120] [file memory/input/pos_001120_src:001269,time:3988492,execs:657662,op:run-havoc,rep:4] [time 3988492]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001121] [file memory/input/pos_001121_src:001269,time:3988862,execs:657724,op:run-havoc,rep:2] [time 3988862]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001122] [file memory/input/pos_001122_src:001253,time:3990537,execs:658182,op:run-havoc,rep:2] [time 3990538]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001123] [file memory/input/pos_001123_src:001253,time:3990921,execs:658280,op:run-havoc,rep:2] [time 3990921]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001124] [file memory/input/pos_001124_src:001253,time:3991036,execs:658297,op:run-havoc,rep:4] [time 3991036]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001125] [file memory/input/pos_001125_src:001253,time:3991260,execs:658332,op:run-havoc,rep:2] [time 3991260]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001126] [file memory/input/pos_001126_src:001253,time:3991950,execs:658375,op:run-havoc,rep:4] [time 3991950]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001127] [file memory/input/pos_001127_src:001253+000961,time:3994296,execs:658936,op:run-splice,rep:8] [time 3994296]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001128] [file memory/input/pos_001128_src:001253+000961,time:3994361,execs:658944,op:run-splice,rep:2] [time 3994361]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001129] [file memory/input/pos_001129_src:000989,time:3995420,execs:659226,op:run-havoc,rep:2] [time 3995420]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001130] [file memory/input/pos_001130_src:000989,time:3996122,execs:659321,op:run-havoc,rep:4] [time 3996122]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001131] [file memory/input/pos_001131_src:000989,time:3996380,execs:659380,op:run-havoc,rep:4] [time 3996380]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001132] [file memory/input/pos_001132_src:000989+000781,time:3997025,execs:659535,op:run-splice,rep:4] [time 3997026]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001133] [file memory/input/pos_001133_src:001207,time:3999100,execs:660030,op:run-havoc,rep:4] [time 3999100]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001134] [file memory/input/pos_001134_src:001207,time:3999263,execs:660053,op:run-havoc,rep:2] [time 3999263]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001135] [file memory/input/pos_001135_src:001207,time:3999311,execs:660057,op:run-havoc,rep:2] [time 3999311]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001136] [file memory/input/pos_001136_src:001209,time:4005923,execs:661557,op:run-havoc,rep:2] [time 4005923]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001137] [file memory/input/pos_001137_src:001209,time:4006385,execs:661613,op:run-havoc,rep:2] [time 4006385]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001138] [file memory/input/pos_001138_src:001256,time:4008525,execs:662211,op:run-havoc,rep:2] [time 4008534]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001139] [file memory/input/pos_001139_src:001110,time:4012706,execs:662989,op:run-havoc,rep:2] [time 4012706]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001140] [file memory/input/pos_001140_src:001092,time:4017620,execs:663846,op:run-havoc,rep:2] [time 4017620]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001141] [file memory/input/pos_001141_src:000914,time:4022251,execs:664548,op:run-havoc,rep:2] [time 4022251]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001142] [file memory/input/pos_001142_src:000815,time:4033077,execs:666221,op:run-havoc,rep:2] [time 4033077]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001143] [file memory/input/pos_001143_src:001258,time:4036100,execs:666908,op:run-havoc,rep:2] [time 4036100]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001144] [file memory/input/pos_001144_src:001258,time:4037485,execs:667095,op:run-havoc,rep:4] [time 4037485]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001145] [file memory/input/pos_001145_src:001258,time:4038401,execs:667174,op:run-havoc,rep:2] [time 4038401]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001146] [file memory/input/pos_001146_src:001258,time:4038563,execs:667202,op:run-havoc,rep:2] [time 4038563]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001147] [file memory/input/pos_001147_src:001258,time:4039204,execs:667332,op:run-havoc,rep:2] [time 4039204]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001148] [file memory/input/pos_001148_src:001258,time:4039838,execs:667467,op:run-havoc,rep:2] [time 4039838]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001149] [file memory/input/pos_001149_src:001258,time:4041675,execs:667692,op:run-havoc,rep:2] [time 4041675]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001150] [file memory/input/pos_001150_src:001258,time:4042305,execs:667713,op:run-havoc,rep:2] [time 4042305]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001151] [file memory/input/pos_001151_src:001261,time:4049180,execs:669468,op:run-havoc,rep:2] [time 4049180]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001152] [file memory/input/pos_001152_src:001261,time:4052557,execs:669554,op:run-havoc,rep:4] [time 4052557]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001153] [file memory/input/pos_001153_src:001261,time:4053764,execs:669714,op:run-havoc,rep:2] [time 4053767]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001154] [file memory/input/pos_001154_src:001261,time:4054409,execs:669868,op:run-havoc,rep:2] [time 4054416]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001155] [file memory/input/pos_001155_src:001261,time:4055946,execs:670127,op:run-havoc,rep:4] [time 4055946]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001156] [file memory/input/pos_001156_src:001261,time:4057327,execs:670261,op:run-havoc,rep:2] [time 4057327]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001157] [file memory/input/pos_001157_src:001261,time:4058085,execs:670419,op:run-havoc,rep:2] [time 4058085]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001158] [file memory/input/pos_001158_src:001261+001237,time:4060068,execs:670950,op:run-splice,rep:2] [time 4060071]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001159] [file memory/input/pos_001159_src:001261+001237,time:4061734,execs:671024,op:run-splice,rep:4] [time 4061734]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001160] [file memory/input/pos_001160_src:001261+001237,time:4062150,execs:671050,op:run-splice,rep:2] [time 4062150]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001161] [file memory/input/pos_001161_src:001253,time:4079020,execs:672485,op:run-havoc,rep:2] [time 4079020]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001162] [file memory/input/pos_001162_src:001253,time:4080929,execs:672764,op:run-havoc,rep:4] [time 4080929]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001163] [file memory/input/pos_001163_src:001253,time:4080985,execs:672770,op:run-havoc,rep:2] [time 4080985]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001164] [file memory/input/pos_001164_src:001253,time:4081794,execs:672879,op:run-havoc,rep:2] [time 4081794]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001165] [file memory/input/pos_001165_src:001253,time:4082679,execs:673048,op:run-havoc,rep:4] [time 4082679]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001166] [file memory/input/pos_001166_src:001253,time:4084864,execs:673055,op:run-havoc,rep:2] [time 4084864]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001167] [file memory/input/pos_001167_src:001253,time:4084995,execs:673078,op:run-havoc,rep:2] [time 4084995]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001168] [file memory/input/pos_001168_src:001253,time:4085429,execs:673147,op:run-havoc,rep:2] [time 4085429]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001169] [file memory/input/pos_001169_src:001253,time:4085652,execs:673192,op:run-havoc,rep:4] [time 4085652]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001170] [file memory/input/pos_001170_src:001253,time:4085898,execs:673220,op:run-havoc,rep:2] [time 4085898]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001171] [file memory/input/pos_001171_src:001253+001129,time:4094272,execs:675028,op:run-splice,rep:4] [time 4094272]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001172] [file memory/input/pos_001172_src:000995,time:4098857,execs:675294,op:run-havoc,rep:2] [time 4098857]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001173] [file memory/input/pos_001173_src:000995,time:4099889,execs:675325,op:run-havoc,rep:2] [time 4099889]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001174] [file memory/input/pos_001174_src:000995,time:4099953,execs:675328,op:run-havoc,rep:2] [time 4099953]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001175] [file memory/input/pos_001175_src:000995,time:4100842,execs:675486,op:run-havoc,rep:2] [time 4100842]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001176] [file memory/input/pos_001176_src:000995,time:4101318,execs:675540,op:run-havoc,rep:2] [time 4101318]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001177] [file memory/input/pos_001177_src:000995,time:4101367,execs:675543,op:run-havoc,rep:2] [time 4101367]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001178] [file memory/input/pos_001178_src:000995,time:4101549,execs:675562,op:run-havoc,rep:4] [time 4101549]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001179] [file memory/input/pos_001179_src:000995,time:4101698,execs:675570,op:run-havoc,rep:2] [time 4101698]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001180] [file memory/input/pos_001180_src:000995+000842,time:4102309,execs:675704,op:run-splice,rep:2] [time 4102309]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001181] [file memory/input/pos_001181_src:000995+000842,time:4102568,execs:675748,op:run-splice,rep:2] [time 4102568]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001182] [file memory/input/pos_001182_src:000995+000615,time:4103571,execs:676020,op:run-splice,rep:4] [time 4103571]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001183] [file memory/input/pos_001183_src:000995+000615,time:4104670,execs:676044,op:run-splice,rep:2] [time 4104670]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001184] [file memory/input/pos_001184_src:001089,time:4107925,execs:676665,op:run-havoc,rep:2] [time 4107925]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001185] [file memory/input/pos_001185_src:001089,time:4108203,execs:676704,op:run-havoc,rep:2] [time 4108203]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001186] [file memory/input/pos_001186_src:001089,time:4109350,execs:676816,op:run-havoc,rep:2] [time 4109350]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001187] [file memory/input/pos_001187_src:001089,time:4111161,execs:677043,op:run-havoc,rep:4] [time 4111161]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001188] [file memory/input/pos_001188_src:001089,time:4111207,execs:677045,op:run-havoc,rep:2] [time 4111207]
aflrun_seed_16/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:001189] [file memory/input/pos_001189_src:001089+000378,time:4113827,execs:677739,op:run-splice,rep:2] [time 4113827]
